fips,dem_share_pct,gop_share_pct
19189,33.93,64.62
19191,44.61,53.89
19193,37.83,60.85
19195,35.25,63.46
19197,31.02,67.53
20001,25.8,71.95
20003,19.31,79.08
20005,30.34,67.69
20007,13.27,85.44
20009,20.88,77.63
20011,21.97,76.13
20013,25.01,72.95
20015,28.38,69.57
20017,23.8,74.56
20019,13.82,85.07
20021,22.6,75.53
20023,14.49,83.33
20025,12.72,85.5
20027,21.08,76.59
20029,18.95,79.52
20031,21.34,77.02
20033,14.87,83.18
20035,29.02,69.31
20037,36.46,61.74
20039,14.81,83.82
20041,21.75,76.71
20043,17.5,81.05
20045,68.2,30.19
20047,16.78,82.11
20049,14.28,83.93
20051,25.99,72.11
20053,23.06,75.34
20055,31.77,66.46
20057,29.92,68.29
20059,28.93,69.04
20061,40.1,57.71
20063,10.74,87.89
20065,16.32,81.97
20067,17.79,80.77
20069,14.77,83.77
20071,12.65,86.0
20073,18.76,79.72
20075,16.07,82.33
20077,17.1,81.1
20079,38.56,59.62
20081,17.29,81.77
20083,14.08,84.58
20085,27.79,70.39
20087,30.52,67.43
20089,11.18,87.04
20091,53.36,44.87
20093,14.76,83.17
20095,19.08,79.02
20097,13.64,85.0
20099,30.11,68.3
20101,13.17,84.1
20103,37.57,60.35
20105,16.59,81.82
20107,17.03,81.6
20109,13.07,84.71
20111,41.6,56.29
20113,28.51,69.6
20115,24.34,73.46
20117,24.26,73.35
20119,14.57,84.19
20121,29.29,68.79
20123,16.65,82.22
20125,23.58,74.65
20127,25.82,72.39
20129,12.36,85.75
20131,15.8,82.83
20133,25.0,73.13
20135,9.46,88.41
20137,15.24,82.91
20139,24.66,72.68
20141,14.71,83.26
20143,15.85,82.42
20145,23.36,74.88
20147,12.05,85.77
20149,25.19,72.83
20151,23.37,74.82
20153,12.54,85.1
20155,31.75,66.25
20157,16.21,81.91
20159,20.8,77.48
20161,49.62,47.83
20163,13.77,84.96
20165,16.44,81.88
20167,18.42,79.73
20169,33.3,64.88
20171,11.62,86.32
20173,42.26,56.09
20175,29.66,68.63
20177,49.26,48.77
20179,9.18,89.51
20181,14.62,83.34
20183,14.96,83.5
20185,17.08,81.09
20187,17.32,80.87
20189,11.44,86.92
20191,23.95,74.04
20193,16.29,82.07
20195,13.61,84.63
20197,24.61,73.41
20199,6.95,91.71
20201,14.67,83.81
20203,12.44,86.05
20205,17.96,80.32
20207,18.73,80.01
20209,61.14,37.29
21001,14.01,85.2
21003,15.98,83.07
21005,24.64,73.72
21007,17.05,81.48
21009,23.06,75.86
21011,23.71,74.99
21013,15.2,83.87
21015,30.57,67.75
21017,32.39,65.9
21019,30.03,68.56
21021,34.72,63.73
21023,16.93,81.98
21025,19.6,78.94
21027,20.29,78.46
21029,23.8,74.79
21031,16.24,82.55
21033,20.3,78.54
21035,30.18,68.13
21037,39.24,58.9
21039,15.63,83.6
21041,23.93,74.88
21043,20.18,78.64
21045,11.36,87.8
21047,32.56,66.13
21049,31.56,66.88
21051,9.21,89.52
21053,11.25,87.62
21055,15.17,83.56
21057,14.04,84.97
21059,33.3,65.24
21061,17.9,80.81
21063,18.28,80.21
21065,17.71,80.95
21067,58.0,39.89
21069,19.06,79.69
21071,19.56,78.76
21073,46.59,51.44
21075,29.65,69.51
21077,19.43,79.37
21079,19.28,79.47
21081,16.95,81.74
21083,18.62,80.21
21085,18.48,80.28
21087,13.35,85.93
21089,24.07,74.61
21091,25.32,72.85
21093,34.48,63.82
21095,11.55,87.72
21097,25.12,73.62
21099,19.53,79.57
21101,34.73,63.97
21103,23.0,75.46
21105,19.04,80.04
21107,23.94,74.81
21109,8.53,90.29
21111,57.43,40.88
21113,31.16,67.01
21115,14.03,84.7
21117,38.16,59.9
21119,19.67,78.83
21121,13.84,84.97
21123,19.14,79.54
21125,14.48,84.34
21127,15.89,83.14
21129,15.09,82.79
21131,8.77,89.69
21133,17.28,81.23
21135,11.64,87.34
21137,18.85,80.05
21139,17.82,80.87
21141,21.86,76.92
21143,22.69,76.12
21145,31.91,66.85
21147,10.32,89.05
21149,21.35,77.23
21151,33.61,64.5
21153,17.24,81.3
21155,27.62,71.13
21157,21.02,77.71
21159,7.85,91.46
21161,27.48,71.17
21163,23.22,75.29
21165,20.17,77.86
21167,23.97,74.54
21169,17.25,81.91
21171,10.85,88.15
21173,25.97,72.56
21175,17.48,81.02
21177,22.26,76.63
21179,28.53,70.29
21181,24.83,73.85
21183,19.15,79.37
21185,37.71,60.3
21187,17.98,80.71
21189,11.04,88.36
21191,17.54,81.06
21193,19.68,79.19
21195,16.81,82.2
21197,21.9,76.34
21199,16.87,82.12
21201,18.79,79.98
21203,12.77,85.9
21205,35.29,63.05
21207,13.49,85.71
21209,35.28,62.99
21211,31.79,66.47
21213,27.38,71.25
21215,21.04,77.77
21217,21.02,77.7
21219,20.56,78.42
21221,23.17,75.54
21223,21.72,77.27
21225,20.22,78.54
21227,37.05,61.31
21229,24.19,74.47
21231,16.53,82.48
21233,20.75,78.1
21235,14.84,84.16
21237,23.64,74.2
21239,41.92,56.19
22001,17.57,81.52
22003,18.98,80.03
22005,32.19,66.14
22007,31.57,67.17
22009,27.81,70.95
22011,13.81,85.07
22013,40.46,58.5
22015,27.7,71.04
22017,51.6,46.96
22019,29.46,69.04
22021,13.38,85.93
22023,6.51,92.8
22025,24.38,74.93
22027,38.5,60.56
22029,34.79,64.14
22031,31.81,67.27
22033,54.46,43.39
22035,58.02,40.37
22037,38.29,60.52
22039,24.87,73.95
22041,24.96,74.15
22043,11.04,87.88
22045,32.4,66.52
22047,48.87,49.6
22049,25.63,73.22
22051,42.5,55.45
22053,18.8,79.94
22055,33.46,64.82
22057,18.35,80.43
22059,8.25,90.98
22061,36.5,61.95
22063,15.12,83.61
22065,52.45,46.24
22067,39.69,59.04
22069,38.16,60.51
22071,82.16,15.16
22073,35.45,63.33
22075,30.4,68.41
22077,35.71,63.26
22079,30.97,67.74
22081,35.46,62.74
22083,29.72,69.12
22085,14.63,84.69
22087,34.51,63.8
22089,33.02,65.37
22091,49.57,48.81
22093,49.13,50.06
22095,63.97,34.83
22097,40.04,58.88
22099,29.13,69.85
22101,33.55,65.42
22103,27.3,71.09
22105,30.64,68.05
22107,47.09,51.36
22109,23.48,75.29
22111,21.06,78.05
22113,17.55,81.39
22115,15.56,83.44
22117,29.32,69.61
22119,31.18,67.66
22121,43.42,55.12
22123,12.56,86.6
22125,33.36,65.3
22127,22.35,76.75
23001,45.91,52.01
23003,36.18,62.4
23005,66.9,30.59
23007,44.8,53.03
23009,54.67,42.89
23011,47.45,50.2
23013,58.22,39.63
23015,54.62,43.37
23017,42.69,55.59
23019,43.58,54.48
23021,34.39,63.57
23023,57.17,40.55
23025,35.63,62.68
23027,50.38,47.02
23029,37.47,60.97
23031,54.29,43.81
24001,28.85,69.19
24003,55.68,41.74
24005,60.99,36.49
24009,43.5,54.49
24011,29.86,67.91
24013,36.22,61.17
24015,33.51,64.38
24017,69.24,28.53
24019,41.57,56.13
24021,53.17,44.36
24023,21.89,75.91
24025,41.91,55.73
24027,69.13,27.38
24029,47.44,50.24
24031,75.22,21.92
24033,86.35,11.2
24035,35.08,62.86
24037,40.19,57.36
24039,40.18,57.53
24041,49.05,49.08
24043,37.34,60.35
24045,46.07,51.53
24047,37.98,59.99
24510,85.17,12.22
25001,59.61,38.86
25003,68.91,28.98
25005,49.77,48.46
25007,75.21,22.59
25009,59.2,38.86
25011,67.31,29.55
25013,53.4,44.51
25015,69.5,27.57
25017,68.49,29.04
25019,67.55,30.66
25021,63.33,34.57
25023,53.56,44.71
25025,74.83,22.38
25027,53.89,43.89
26001,28.61,70.27
26003,39.46,59.26
26005,35.66,62.88
26007,35.08,63.72
26009,37.5,61.25
26011,29.07,69.65
26013,34.35,64.15
26015,32.08,66.41
26017,42.01,56.73
26019,45.0,53.68
26021,45.36,53.24
26023,28.03,70.41
26025,42.32,56.37
26027,32.47,66.4
26029,40.76,57.66
26031,33.75,64.87
26033,37.01,61.26
26035,30.5,68.09
26037,44.94,53.54
26039,32.47,66.22
26041,34.11,64.5
26043,31.11,67.43
26045,47.65,50.79
26047,43.79,54.56
26049,51.37,47.18
26051,29.06,69.79
26053,40.82,57.92
26055,48.34,50.07
26057,33.67,64.96
26059,23.68,75.09
26061,40.7,57.74
26063,29.11,69.71
26065,63.87,34.16
26067,33.33,65.21
26069,33.97,64.55
26071,34.74,64.05
26073,45.47,52.96
26075,38.6,59.9
26077,58.02,40.28
26079,27.81,70.68
26081,51.83,46.46
26083,42.83,55.62
26085,33.23,65.41
26087,29.47,69.27
26089,53.2,45.45
26091,37.79,60.83
26093,37.39,61.34
26095,25.76,72.7
26097,36.96,61.84
26099,42.23,55.92
26101,41.25,57.19
26103,53.51,44.78
26105,38.62,59.98
26107,34.19,64.23
26109,32.59,66.21
