fips,summer_high_f,winter_low_f,summer_avg_f,annual_avg_f,annual_precip_in,annual_snow_in
13061,89.5,38.6,79.9,65.1,57.3,0.2
13063,88.6,35.7,79.0,62.6,52.8,1.4
13065,91.2,40.7,80.6,67.1,50.9,0.0
13067,86.2,34.0,76.8,61.0,53.6,1.7
13069,91.1,39.9,80.7,66.3,50.2,0.1
13071,89.3,41.0,79.9,66.2,49.8,0.0
13073,90.6,36.7,80.3,64.2,47.6,0.5
13075,89.5,40.5,79.8,66.1,51.0,0.0
13077,89.1,34.1,78.5,62.2,54.5,1.7
13079,90.7,36.9,80.2,64.6,50.1,0.2
13081,91.3,38.4,81.0,65.8,49.5,0.1
13083,86.2,32.3,76.4,59.5,55.2,1.0
13085,85.6,33.0,75.7,59.4,60.2,2.3
13087,91.5,39.9,80.9,67.1,55.1,0.0
13089,87.9,34.7,78.2,61.5,53.6,
13091,90.5,39.0,80.4,65.4,47.5,0.0
13093,91.4,37.8,80.9,65.5,49.4,0.1
13095,91.7,40.3,81.7,67.1,48.8,0.0
13097,86.0,34.5,76.9,61.2,53.9,0.9
13099,90.7,40.3,81.0,66.5,55.2,0.0
13101,90.6,41.4,80.3,67.3,53.3,0.0
13103,91.3,40.6,81.4,66.9,51.9,0.0
13105,88.3,32.1,77.8,60.7,49.0,0.5
13107,91.1,37.6,80.4,64.9,48.5,0.2
13109,91.4,39.7,81.1,66.4,49.4,0.0
13111,85.5,28.8,74.1,57.4,61.8,3.4
13113,89.1,35.8,79.2,62.9,52.0,1.4
13115,89.1,32.9,78.1,61.1,53.7,0.4
13117,87.3,32.8,76.7,60.1,56.2,0.7
13119,87.7,34.0,77.8,61.2,52.4,0.9
13121,87.0,34.9,77.6,61.6,51.4,0.7
13123,86.1,32.8,76.2,59.5,59.8,2.9
13125,89.8,35.3,79.1,63.1,46.4,0.3
13127,89.2,45.9,81.9,68.7,49.2,0.0
13129,88.8,32.9,78.0,60.9,53.0,1.3
13131,90.2,40.0,80.1,66.5,52.0,0.0
