fips,dist_to_coast_mi,dist_to_mountains_mi
21099,315.7,221.7
21101,270.0,319.2
21103,240.2,235.4
21105,356.0,259.5
21107,303.3,304.1
21109,291.7,147.5
21111,261.4,249.9
21113,269.8,189.7
21115,252.4,115.1
21117,198.9,232.2
21119,286.8,95.2
21121,324.6,116.8
21123,302.7,222.5
21125,312.4,138.0
21127,236.7,125.5
21129,274.3,139.7
21131,307.1,107.0
21133,302.9,81.8
21135,207.9,170.8
21137,298.2,175.6
21139,313.7,301.4
21141,336.1,259.2
21143,324.6,312.8
21145,327.5,279.9
21147,343.2,135.8
21149,288.6,296.0
21151,274.0,170.1
21153,263.4,115.9
21155,301.6,204.4
21157,335.9,297.1
21159,256.1,102.6
21161,209.5,189.3
21163,266.9,262.1
21165,250.8,147.7
21167,278.4,201.8
21169,340.2,199.2
21171,357.5,195.1
21173,247.7,165.7
21175,248.9,134.2
21177,310.6,280.7
21179,288.8,224.0
21181,229.5,184.0
21183,293.8,273.8
21185,250.4,248.9
21187,232.2,225.0
21189,286.6,131.9
21191,212.3,213.8
21193,295.5,103.0
21195,277.8,81.5
21197,262.0,152.6
21199,319.6,155.6
21201,218.6,193.9
21203,298.7,158.0
21205,231.0,154.7
21207,335.8,171.7
21209,242.7,204.8
21211,256.0,232.6
21213,346.1,240.9
21215,271.6,228.8
21217,314.9,198.9
21219,336.2,274.7
21221,338.6,310.1
21223,234.2,252.3
21225,280.3,332.9
21227,330.1,238.8
21229,286.8,210.1
21231,344.1,154.0
21233,289.0,316.8
21235,336.7,121.7
21237,262.9,135.2
21239,261.2,203.3
22001,102.4,385.8
22003,121.6,357.8
22005,83.5,414.5
22007,62.5,431.2
22009,155.8,337.1
22011,122.3,356.3
22013,234.6,240.4
22015,244.9,214.4
22017,233.0,223.6
22019,94.4,385.0
22021,224.3,267.6
22023,67.9,410.1
22025,191.0,301.0
22027,266.2,207.5
22029,174.7,318.0
22031,200.8,258.8
22033,106.8,388.9
22035,232.6,248.4
22037,127.1,370.9
22039,130.8,356.6
22041,220.5,273.8
22043,188.2,295.3
22045,65.8,438.7
22047,90.5,401.5
22049,236.7,247.4
22051,29.1,479.4
22053,95.3,384.2
22055,105.1,395.3
22057,46.5,471.7
22059,197.7,294.9
22061,256.6,226.1
22063,100.9,403.5
22065,214.5,271.6
22067,260.9,227.6
22069,195.8,282.1
22071,60.6,447.6
22073,250.0,241.9
22075,9.4,504.9
22077,123.5,368.4
22079,160.9,323.1
22081,211.9,255.7
22083,240.0,254.6
22085,172.8,293.0
22087,52.7,474.9
22089,62.8,446.2
22091,127.1,379.8
22093,71.9,428.7
22095,80.7,427.9
22097,124.5,370.9
22099,85.8,407.3
22101,51.7,442.4
22103,85.0,425.2
22105,106.9,399.9
22107,205.1,290.1
22109,24.9,472.7
22111,274.0,215.0
22113,74.8,419.7
22115,152.6,325.0
22117,99.6,395.7
22119,252.4,212.2
22121,102.9,389.8
22123,244.7,238.4
22125,131.9,360.9
22127,211.2,271.1
23001,41.0,34.4
23003,153.1,205.8
23005,32.3,39.2
23007,95.0,58.7
23009,69.3,127.4
23011,49.6,58.0
23013,40.5,93.0
23015,22.4,70.2
23017,75.2,21.9
23019,91.5,137.7
23021,127.9,147.5
23023,16.6,56.0
23025,125.3,101.2
23027,60.9,90.1
23029,32.0,170.4
23031,52.0,54.7
24001,205.3,51.2
24003,89.4,109.9
24005,116.5,120.3
24009,66.5,106.5
24011,62.8,146.2
24013,135.4,108.4
24015,88.3,155.7
24017,88.5,80.3
24019,42.0,132.8
24021,144.1,89.4
24023,190.6,26.8
24025,107.1,138.2
24027,115.7,99.4
24029,92.2,137.6
24031,121.0,82.5
24033,92.8,92.0
24035,78.5,135.5
24037,58.3,108.2
24039,19.9,146.5
24041,63.4,126.5
24043,166.8,84.7
24045,26.4,155.5
24047,18.5,173.9
24510,108.0,115.7
25001,61.0,168.1
25003,118.3,113.4
25005,26.4,150.9
25007,31.1,179.9
25009,16.9,94.4
25011,87.1,103.7
25013,85.6,132.6
25015,90.1,120.4
25017,25.9,98.5
25019,62.6,195.5
25021,21.3,121.3
25023,29.6,139.1
25025,7.4,111.8
25027,53.5,111.1
26001,2.9,424.4
26003,35.4,621.8
26005,74.4,417.6
26007,14.8,441.9
26009,59.6,495.3
26011,12.2,399.5
26013,47.6,684.0
26015,87.0,383.1
26017,27.9,387.8
26019,71.6,510.4
26021,39.6,420.4
26023,82.1,347.3
26025,86.3,357.0
26027,78.7,389.3
26029,42.6,539.8
26031,24.5,502.9
26033,37.1,536.6
26035,66.5,430.7
26037,42.4,370.7
26039,64.4,460.6
26041,53.6,591.4
26043,40.4,633.8
26045,68.6,364.3
26047,20.0,522.5
26049,21.6,342.9
26051,44.2,416.2
26053,48.3,687.9
